BRAND,MODEL,TRIM,ITEM DESCRIPTION,WARRANTY,SEGMENT
CHANGAN,ALSVIN V3,DYNAMIC,CHANGAN ALSVIN V3 DYNAMIC,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SEDAN - B
CHANGAN,CS15,DYNAMIC,CHANGAN CS15 DYNAMIC,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV -A
CHANGAN,EADO DT,DYNAMIC,CHANGAN EADO DT DYNAMIC,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SEDAN - B
CHANGAN,EADO DT,ACTIVE,CHANGAN EADO DT ACTIVE,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SEDAN - B
CHANGAN,EADO PLUS,EXECUTIVE,CHANGAN EADO PLUS EXECUTIVE,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SEDAN - C
CHANGAN,EADO PLUS,LUXURY,CHANGAN EADO PLUS LUXURY,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SEDAN - C
CHANGAN,CS35 PLUS,LUXURY PRO,CHANGAN CS35 PLUS LUXURY PRO,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - B
CHANGAN,CS35 PLUS,PRO,CHANGAN CS35 PLUS PRO,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - B
CHANGAN,CS35 PLUS,LUXURY,CHANGAN CS35 PLUS LUXURY,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - B
CHANGAN,CS55PLUS,LUXURY PRO,CHANGAN CS55PLUS LUXURY PRO,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - C
CHANGAN,CS55PLUS,LUXURY,CHANGAN CS55PLUS LUXURY,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - C
CHANGAN,CS85,COUPE,CHANGAN CS85 COUPE,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",COUPE
CHANGAN,CS95 PLUS,ROYALE,CHANGAN CS95 PLUS ROYALE,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - D
CHANGAN,HUNTER,EXECUTIVE MANUAL 4X4,CHANGAN HUNTER EXECUTIVE MANUAL 4X4,"5 YEARS / 150,000KM WHICHEVER COMES FIRST",PICKUP
CHANGAN,HUNTER,LUXURY AUTOMATIC 4X2,CHANGAN HUNTER LUXURY AUTOMATIC 4X2,"5 YEARS / 150,000KM WHICHEVER COMES FIRST",PICKUP
CHANGAN,HUNTER,LUXURY PRO AUTOMATIC 4X4,CHANGAN HUNTER LUXURY PRO AUTOMATIC 4X4,"5 YEARS / 150,000KM WHICHEVER COMES FIRST",PICKUP
CHANGAN,HUNTER PLUS,LUXURY PRO AUTOMATIC 4X4,CHANGAN HUNTER PLUS LUXURY PRO AUTOMATIC 4X4,"5 YEARS / 150,000KM WHICHEVER COMES FIRST",PICKUP
CHANGAN,UNI-T,LUXURY,CHANGAN UNI-T LUXURY,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - C
CHANGAN,UNI-T,AVENTUS,CHANGAN UNI-T AVENTUS,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - C
CHANGAN,UNI-T,SVP,CHANGAN UNI-T SVP,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - C
CHANGAN,UNI-K,BESPOKE,CHANGAN UNI-K BESPOKE,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - D
CHANGAN,UNI-K,SIGNATURE,CHANGAN UNI-K SIGNATURE,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - D
CHANGAN,UNI-K,EXECUTIVE,CHANGAN UNI-K EXECUTIVE,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - D
CHANGAN,X7 PLUS,LUXURY,CHANGAN X7 PLUS LUXURY,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - C
CHANGAN,X7 PLUS,LUXURY PRO,CHANGAN X7 PLUS LUXURY PRO,"6 YEARS / 200,000KM WHICHEVER COMES FIRST",SUV - C
